id,Virulence_function,Associated_pathotypes
Vir1107_papX_3,Adhesion: P Fimbriae,ExPEC
Vir1108_ECOK1_3,Hypothetical Protein,NMEC
Vir1109_aec19_6,Secretion system: Type VI: Hypothetical Protein,NMEC
Vir1111_aec25_7,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir1114_cfaD_4,Adhesion: CFA/I Fimbriae,StxEAEC
Vir1115_ecpR_13,Adhesion: E.coli common pilus,EPEC
Vir1116_aec31_8,Secretion system: Type VI: Hypothetical Protein,NMEC
Vir1119_papK_2,Adhesion: P Fimbriae,ExPEC
Vir1122_UTI89_1,Hypothetical Protein,UPEC
Vir1125_lifA_1,NA,EPEC
Vir1127_toxB_2,NA,EHEC
Vir1128_ecpA_6,Adhesion: E.coli common pilus,UPEC
Vir1129_nleG6_3,Hypothetical Protein,EPEC
Vir1130_ecpC_11,Adhesion: E.coli common pilus,EPEC
Vir1131_chuA_6,Iron: E.coli hemin uptake,EHEC
Vir1132_cdtB_1,Toxin: Cytolethal Distending Toxin,ExPEC
Vir1133_irp1_3,Siderophore: Yersiniabactin,ExPEC
Vir1135_ehaB_8,Autotransporter: adhesion/biofilm formation,UPEC
Vir1136_fimF_11,Adhesion: Type I Fimbriae,ExPEC
Vir1138_nleA_5,NA,EHEC
Vir1141_fyuA_6,Siderophore: Yersiniabactin,ExPEC
Vir1147_aec22_5,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir1151_nleA_6,Secretion system: Type III,EHEC
Vir1152_c3386_1,Hypothetical Protein,UPEC
Vir1153_aec27_10,Secretion system: Type VI,AIEC
Vir1156_nleG6_4,Hypothetical Protein,EHEC
Vir1157_espR4_1,Secretion system: Type III,EPEC
Vir1158_chuW_2,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1160_ehaA_3,Autotransporter: adhesion/biofilm formation,EHEC
Vir1162_fimI_9,Adhesion: Type I Fimbriae,EPEC
Vir1163_aec31_9,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir1164_ECO26_2,Secretion system: Type III,EHEC
Vir1165_ler_3,Hypothetical Protein,EHEC
Vir1168_sat_4,NA,EAEC
Vir1169_fimC_8,Adhesion: Type I Fimbriae,ExPEC|APEC
Vir1170_espL2_6,Secretion system: Type III,EHEC
Vir1171_fimH_11,Adhesion: Type I Fimbriae,ExPEC
Vir1172_ecpR_14,Adhesion: E.coli common pilus,EHEC
Vir1173_espH_2,Secretion system: Type III,EHEC
Vir1174_hlyE_4,Toxin: Hemolysin/cytolysin A,ExPEC
Vir1175_iucA_7,Siderophore: Aerobactin,UPEC|APEC
Vir1177_hlyA_6,Toxin: Alpha-Hemolysin,ExPEC
Vir1178_iucA_8,Siderophore: Aerobactin,UPEC|APEC
Vir1182_upaG_12,Hypothetical Protein,UPEC
Vir1183_aec24_6,Secretion system: Type VI,UPEC
Vir1184_fimH_12,Adhesion: Type I Fimbriae,ExPEC
Vir1187_tia_6,Adhesion/Invasion,ETEC
Vir1190_espX7_3,Secretion system: Type III,EHEC
Vir1191_usp_4,Toxin: Colicin-like Usp,UPEC
Vir1192_EC559_7,NA,EAEC
Vir1193_ECP_2_4,Secretion system: SCI-I T6SS,UPEC
Vir1197_aaiH_1,Hypothetical Protein,StxEAEC
Vir1198_EC042_10,Hypothetical Protein,EAEC
Vir1201_iucD_4,Siderophore: Aerobactin,UPEC|APEC
Vir1202_sfaS_2,Adhesion: S Fimbriae,ExPEC
Vir1204_fimB_6,Adhesion: Type I Fimbriae,UPEC
Vir1206_tir_4,Hypothetical Protein,EHEC
Vir1207_fimC_9,Adhesion: Type I Fimbriae,ExPEC|APEC
Vir1209_ecpE_16,Adhesion: E.coli common pilus,EAEC
Vir1211_iroC_6,Siderophore: Salmochelin,ExPEC
Vir1213_ECO55_10,Hypothetical Protein,EPEC
Vir1214_ECP_2_5,Secretion system: SCI-I T6SS,UPEC
Vir1215_sfaG_2,Adhesion: S Fimbriae,ExPEC
Vir1216_ehaB_9,Autotransporter: adhesion/biofilm formation,EAEC
Vir1217_upaH_1,Adhesion,UPEC
Vir1219_aec26_7,Secretion system: Type VI,EAEC
Vir1220_ibeA_2,Invasion,NMEC|SEPEC|APEC
Vir1221_hlyC_5,Toxin: Alpha-Hemolysin,UPEC
Vir1223_fyuA_7,Siderophore: Yersiniabactin,ExPEC
Vir1224_ehaB_10,Autotransporter: adhesion/biofilm formation,ETEC
Vir1225_ybtE_4,Siderophore: Yersiniabactin,ExPEC
Vir1226_LF82_5,Secretion system: SCI-I T6SS,AIEC
Vir1227_ybtP_7,Siderophore: Yersiniabactin,ExPEC
Vir1228_fimC_10,Adhesion: Type I Fimbriae,ExPEC|APEC
Vir1229_ybtU_6,Siderophore: Yersiniabactin,ExPEC
Vir1232_aec18_6,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir1233_espF_4,Secretion system: Type III,EHEC
Vir1237_nleG8_2,NA,EPEC
Vir1239_ireA_3,Iron,ExPEC
Vir1240_NRG85_6,Hypothetical Protein,AIEC
Vir1241_aec17_6,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir1242_EC559_8,Hypothetical Protein,EAEC
Vir1243_cah_7,Adhesion,EHEC|ETEC|NMEC|UPEC|AIEC|EPEC|StxEAEC
Vir1247_ybtX_6,Siderophore: Yersiniabactin,ExPEC
Vir1251_ibeC_14,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir1252_cdiB_3,Autotransporter: Contact-Dependent Growth Inhibition,UPEC|AIEC
Vir1253_aec15_6,Secretion system: Type VI,EHEC
Vir1255_EC559_9,Hypothetical Protein,EAEC
Vir1256_eltB_1,Toxin: Enterotoxin,ETEC
Vir1257_papK_3,Adhesion: P Fimbriae,ExPEC
Vir1258_stx1A_1,Toxin: Shiga,EHEC
Vir1260_papJ_2,Adhesion: P Fimbriae,ExPEC
Vir1261_ECS88_8,Secretion system: SCI-I T6SS,NMEC
Vir1262_aec30_8,Secretion system: Type VI: Toxin,EPEC
Vir1263_i02_3_4,Hypothetical Protein,UPEC
Vir1265_NRG85_7,Hypothetical Protein,AIEC
Vir1267_ehaA_4,Autotransporter: adhesion/biofilm formation,EHEC
Vir1271_espF_5,NA,EPEC
Vir1272_chuW_3,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1273_ybtU_7,Siderophore: Yersiniabactin,ExPEC
Vir1274_espR4_2,Hypothetical Protein,EPEC
Vir1276_LF82_6,Secretion system: SCI-I T6SS,AIEC
Vir1279_fimI_10,Adhesion: Type I Fimbriae,EHEC
Vir1282_espX7_4,Secretion system: Type III,EHEC
Vir1283_ecpE_17,Adhesion: E.coli common pilus,EPEC
Vir1284_agg3D_2,NA,StxEAEC
Vir1285_espR4_3,Hypothetical Protein,EHEC
Vir1286_chuA_7,Iron: E.coli hemin uptake,EHEC
Vir1290_ybtQ_8,Siderophore: Yersiniabactin,ExPEC
Vir1291_iutA_4,Siderophore: Aerobactin,ExPEC
Vir1292_aec28_7,Secretion system: Type VI,EAEC
Vir1295_papX_4,Adhesion: P Fimbriae,ExPEC
Vir1296_espY5_1,Hypothetical Protein,EHEC
Vir1299_ibeB_11,Invasion: brain endothelial cells & Copper/Silver efflux resistance,NMEC|SEPEC|APEC
Vir1300_aec24_7,Secretion system: Type VI,ETEC
Vir1301_EC559_10,Hypothetical Protein,EAEC
Vir1302_cfaC_5,Adhesion: CFA/I Fimbriae,UPEC
Vir1303_cfaB_4,Adhesion: CFA/I Fimbriae,UPEC
Vir1304_ybtU_8,Siderophore: Yersiniabactin,ExPEC
Vir1305_escR_2,Secretion system: Type III,EHEC
Vir1306_ecpA_7,Adhesion: E.coli common pilus,AIEC
Vir1307_ECO10_11,Hypothetical Protein,EHEC
Vir1309_chuU_6,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1310_iroN_7,Siderophore: Salmochelin,ExPEC
Vir1313_irp1_4,Siderophore: Yersiniabactin,ExPEC
Vir1315_papJ_3,Adhesion: P Fimbriae,ExPEC
Vir1316_agn43_3,Autotransporter,UPEC
Vir1318_sitC_4,Iron: Transport,ExPEC
Vir1319_stx2A_4,Toxin: Shiga,EHEC
Vir1321_cesT_2,NA,EHEC
Vir1323_fimD_7,Adhesion: Type I Fimbriae,ExPEC
Vir1324_ECNA1_7,Hypothetical Protein,UPEC
Vir1326_sitA_3,Iron: Transport,ExPEC
Vir1327_papJ_4,Adhesion: P Fimbriae,ExPEC
Vir1330_irp2_11,Siderophore: Yersiniabactin,ExPEC
Vir1334_chuW_4,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1335_fimD_8,Adhesion: Type I Fimbriae,ExPEC
Vir1336_ecpD_6,Adhesion: E.coli common pilus,ETEC
Vir1337_chuA_8,Iron: E.coli hemin uptake,EHEC
Vir1338_papB_3,Adhesion: P Fimbriae,ExPEC
Vir1340_ehaB_11,Autotransporter: adhesion/biofilm formation,ETEC
Vir1342_ybtE_5,Siderophore: Yersiniabactin,ExPEC
Vir1345_cdtB_2,Toxin: Cytolethal Distending Toxin,ExPEC
Vir1346_chuW_5,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1347_EC042_11,Secretion system: Type VI,EAEC
Vir1348_sitB_7,Iron: Transport,ExPEC
Vir1350_ECOK1_4,Secretion system: Type VI,NMEC
Vir1351_espX2_2,Hypothetical Protein,EPEC
Vir1352_iucB_3,Siderophore: Aerobactin,UPEC|APEC
Vir1354_aaiM_2,Hypothetical Protein,EAEC
Vir1357_eaeH_10,Adhesion,ETEC
Vir1358_paa_3,NA,EPEC
Vir1360_agn43_4,Autotransporter,EHEC
Vir1362_fimG_8,Adhesion: Type I Fimbriae,ExPEC
Vir1364_aec29_8,Secretion system: Type VI: Hypothetical Protein,StxEAEC
Vir1365_ecpE_18,Adhesion: E.coli common pilus,EAEC
Vir1367_nleF_3,Secretion system: Type III,EHEC
Vir1368_espA_2,NA,EHEC
Vir1370_escN_3,NA,EHEC
Vir1371_ybtU_9,Siderophore: Yersiniabactin,ExPEC
Vir1375_papA_3,Adhesion: P Fimbriae,ExPEC
Vir1378_aec32_6,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir1379_aec28_8,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir1381_aec16_3,Secretion system: Type VI,EAEC
Vir1383_irp2_12,Siderophore: Yersiniabactin,ExPEC
Vir1384_espR3_2,Hypothetical Protein,EPEC
Vir1385_ECO26_3,Hypothetical Protein,EHEC
Vir1386_aafB_1,Adhesion: Fimbriae,EAEC
Vir1387_sepD_3,Secretion system: Type III,EHEC
Vir1388_escV_4,NA,EHEC
Vir1390_agn43_5,Autotransporter,UPEC
Vir1391_escF_2,Secretion system: Type III,EHEC
Vir1392_ybtT_8,Siderophore: Yersiniabactin,ExPEC
Vir1394_nleE_3,Secretion system: Type III,EPEC
Vir1397_ecpC_12,Adhesion: E.coli common pilus,EHEC
Vir1398_fimH_13,Adhesion: Type I Fimbriae,ExPEC
Vir1399_ybtS_7,Siderophore: Yersiniabactin,ExPEC
Vir1400_hlyA_7,Toxin: Alpha-Hemolysin,ExPEC
Vir1401_ECO55_4,Hypothetical Protein,EPEC
Vir1402_faeH_1,Adhesion: Fimbriae,ETEC
Vir1404_fimH_14,Adhesion: Type I Fimbriae,ExPEC
Vir1405_ecpC_13,Adhesion: E.coli common pilus,AIEC
Vir1407_fyuA_8,Siderophore: Yersiniabactin,ExPEC
Vir1408_fimI_11,Adhesion: Type I Fimbriae,NMEC
Vir1410_espH_3,NA,EPEC
Vir1411_chuX_5,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1412_cfaC_6,Adhesion: CFA/I Fimbriae,ETEC
Vir1414_EC042_12,Secretion system: Type VI,EAEC
Vir1418_aec30_9,Secretion system: Type VI,AIEC
Vir1422_cdiB_4,Autotransporter: Contact-Dependent Growth Inhibition,UPEC|AIEC
Vir1423_ECABU_5,NA,UPEC
Vir1425_ECP_0_2,Hypothetical Protein,UPEC
Vir1428_aec32_7,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir1430_ecpR_15,Adhesion: E.coli common pilus,EAEC
Vir1433_ecpB_10,Adhesion: E.coli common pilus,NMEC
Vir1434_ecpC_14,Adhesion: E.coli common pilus,EHEC
Vir1435_upaH_2,Adhesion,UPEC
Vir1441_upaG_13,Adhesion,EAEC
Vir1442_nleG8_3,Secretion system: Type III,EHEC
Vir1445_papB_4,Adhesion: P Fimbriae,ExPEC
Vir1447_aec24_8,Secretion system: Type VI,EHEC
Vir1448_chuU_7,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1452_aatA_2,NA,StxEAEC
Vir1457_espA_3,NA,EPEC
Vir1458_chuU_8,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1459_focF_1,Adhesion: Fimbriae,UPEC
Vir1461_hlyA_8,Toxin: Alpha-Hemolysin,ExPEC
Vir1462_eltA_2,Toxin: Enterotoxin,ETEC
Vir1463_papD_3,Adhesion: P Fimbriae,ExPEC
Vir1464_ecpR_16,Adhesion: E.coli common pilus,AIEC
Vir1465_fimG_9,Adhesion: Type I Fimbriae,ExPEC
Vir1466_c3392_1,NA,UPEC
Vir1468_aec22_6,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir1469_aaiL_2,Hypothetical Protein,StxEAEC
Vir1470_iucA_9,Siderophore: Aerobactin,UPEC|APEC
Vir1472_fimI_12,Adhesion: Type I Fimbriae,EHEC
Vir1473_chuA_9,Iron: E.coli hemin uptake,EHEC
Vir1475_fimE_9,Adhesion: Type I Fimbriae,ExPEC
Vir1476_ybtA_4,Siderophore: Yersiniabactin,ExPEC
Vir1477_escU_3,Secretion system: Type III,EHEC
Vir1480_ECO10_12,Secretion system: Type III,EHEC
Vir1481_escT_4,NA,EPEC
Vir1482_aec23_9,Secretion system: Type VI,EPEC
Vir1483_eaeH_11,Adhesion,UPEC
Vir1486_aatC_4,NA,EAEC
Vir1488_aec30_10,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir1490_papK_4,Adhesion: P Fimbriae,ExPEC
Vir1492_aec32_8,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir1493_nleH1_5,Secretion system: Type III,EPEC
Vir1494_fyuA_9,Siderophore: Yersiniabactin,ExPEC
Vir1495_fimA_11,Adhesion: Type I Fimbriae,ExPEC
Vir1496_sitB_8,Iron: Transport,ExPEC
Vir1497_nleG6_5,Hypothetical Protein,EHEC
Vir1501_papK_5,Adhesion: P Fimbriae,ExPEC
Vir1503_fimB_7,Adhesion: Type I Fimbriae,EHEC
Vir1504_espN_2,Secretion system: Type III,EHEC
Vir1505_upaG_14,Adhesion,EHEC
Vir1506_ecpA_8,Adhesion: E.coli common pilus,UPEC
Vir1507_aec18_7,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir1508_aec22_7,Secretion system: Type VI: Hypothetical Protein,APEC
Vir1512_stx2B_2,Toxin: Shiga,EHEC
Vir1516_fimF_12,Adhesion: Type I Fimbriae,ExPEC
Vir1517_iroC_7,Siderophore: Salmochelin,ExPEC
Vir1518_fimA_12,Adhesion: Type I Fimbriae,ExPEC
Vir1519_ecpB_11,Adhesion: E.coli common pilus,UPEC
Vir1520_hlyD_6,Toxin: Alpha-Hemolysin,EHEC
Vir1524_ECP_2_6,Secretion system: SCI-I T6SS,UPEC
Vir1525_nleG6_6,Hypothetical Protein,EHEC
Vir1527_clpV_2,Secretion system: Type VI,EAEC
Vir1528_escV_5,NA,EPEC
Vir1529_ibeC_15,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir1530_cah_8,Autotransporter: calcium-binding and heat-extractable autotransporter protein,EHEC|ETEC|NMEC|UPEC|AIEC|EPEC|StxEAEC
Vir1531_aec15_7,Secretion system: Type VI,EHEC
Vir1532_aatP_4,NA,EAEC
Vir1534_fimC_11,Adhesion: Type I Fimbriae,ExPEC|APEC
Vir1535_fimD_9,Adhesion: Type I Fimbriae,ExPEC
Vir1538_papG_3,Adhesion: P Fimbriae,ExPEC
Vir1539_sfaG_3,Adhesion: S Fimbriae,ExPEC
Vir1542_papH_6,Adhesion: P Fimbriae,ExPEC
Vir1544_ybtT_9,Siderophore: Yersiniabactin,ExPEC
Vir1548_ecpD_7,Adhesion: E.coli common pilus,EHEC
Vir1549_aatP_5,NA,EAEC
Vir1552_ibeC_16,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir1554_iucC_4,Siderophore: Aerobactin,UPEC|APEC
Vir1555_EcE24_5,Hypothetical Protein,ETEC
Vir1556_ecpD_8,Adhesion: E.coli common pilus,UPEC
Vir1557_papK_6,Adhesion: P Fimbriae,ExPEC
Vir1566_cfaB_5,Adhesion: CFA/I Fimbriae,ETEC
Vir1567_papB_5,Adhesion: P Fimbriae,ExPEC
Vir1571_cah_9,Autotransporter: calcium-binding and heat-extractable autotransporter protein,EHEC|ETEC|NMEC|UPEC|AIEC|EPEC|StxEAEC
Vir1572_cnf1_1,Toxin: cytotoxic necrotizing factor,ExPEC|NTEC
Vir1577_hlyA_9,Toxin: Alpha-Hemolysin,ExPEC
Vir1578_chuA_10,Iron: E.coli hemin uptake,EHEC
Vir1579_papG_4,Adhesion: P Fimbriae,ExPEC
Vir1582_espB_6,NA,EPEC
Vir1584_nleC_4,Hypothetical Protein,EHEC
Vir1585_EC559_11,Hypothetical Protein,EAEC
Vir1586_LF82_7,Secretion system: SCI-I T6SS,AIEC
Vir1588_espX7_5,Secretion system: Type III,EHEC
Vir1589_sepL_4,NA,EHEC
Vir1590_nleG2_4,NA,EHEC
Vir1591_cesF_3,Secretion system: Type III,EHEC
Vir1592_fimE_10,Adhesion: Type I Fimbriae,ExPEC
Vir1594_fimB_8,Adhesion: Type I Fimbriae,AIEC
Vir1604_cah_10,Adhesion,EHEC|ETEC|NMEC|UPEC|AIEC|EPEC|StxEAEC
Vir1605_ybtP_8,Siderophore: Yersiniabactin,ExPEC
Vir1609_UM146_2,Hypothetical Protein,AIEC
Vir1610_chuX_6,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1611_aaiD_1,Hypothetical Protein,StxEAEC
Vir1612_fimF_13,Adhesion: Type I Fimbriae,ExPEC
Vir1614_hlyE_5,Toxin: Hemolysin/cytolysin A,ExPEC
Vir1615_nleG2_5,Secretion system: Type III,EHEC
Vir1616_chuS_5,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1618_espD_3,NA,EHEC
Vir1619_papG_5,Adhesion: P Fimbriae,ExPEC
Vir1620_agn43_6,Autotransporter,UPEC
Vir1622_vat_5,Vacuolating autotransporter toxin,ExPEC
Vir1623_papK_7,Adhesion: P Fimbriae,ExPEC
Vir1630_chuW_6,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1631_ecpA_9,Adhesion: E.coli common pilus,EHEC
Vir1633_papX_5,Adhesion: P Fimbriae,ExPEC
Vir1637_fimG_10,Adhesion: Type I Fimbriae,ExPEC
Vir1638_ecpC_15,Adhesion: E.coli common pilus,ETEC
Vir1639_espB_7,NA,EHEC
Vir1640_espD_4,NA,EHEC
Vir1643_papI_5,Adhesion: P Fimbriae,ExPEC
Vir1645_papA_4,Adhesion: P Fimbriae,ExPEC
Vir1650_aec27_11,Secretion system: Type VI,EHEC
Vir1651_APECO_5,Hypothetical Protein,APEC
Vir1652_chuU_9,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1653_fyuA_10,Siderophore: Yersiniabactin,ExPEC
Vir1656_fimC_12,Adhesion: Type I Fimbriae,ExPEC|APEC
Vir1660_iroC_8,Siderophore: Salmochelin,ExPEC
Vir1661_papJ_5,Adhesion: P Fimbriae,ExPEC
Vir1662_hlyE_6,Toxin: Hemolysin/cytolysin A,ExPEC
Vir1668_cah_11,Autotransporter: calcium-binding and heat-extractable autotransporter protein,EHEC|ETEC|NMEC|UPEC|AIEC|EPEC|StxEAEC
Vir1671_hlyE_7,Toxin: Hemolysin/cytolysin A,ExPEC
Vir1673_agg3B_2,Invasion,StxEAEC
Vir1674_ECP_2_7,Secretion system: SCI-I T6SS,UPEC
Vir1675_sfaD_1,Adhesion: S Fimbriae,ExPEC
Vir1677_ybtE_6,Siderophore: Yersiniabactin,ExPEC
Vir1679_aec29_9,Secretion system: Type VI: Hypothetical Protein,EAEC
Vir1680_fimF_14,Adhesion: Type I Fimbriae,ExPEC
Vir1683_espR4_4,Secretion system: Type III,EHEC
Vir1684_nleG6_7,Secretion system: Type III,EPEC
Vir1685_aec15_8,Secretion system: Type VI,EHEC
Vir1686_usp_5,Toxin: Colicin-like Usp,AIEC
Vir1688_ECNA1_8,Hypothetical Protein,UPEC
Vir1690_i02_3_5,Hypothetical Protein,UPEC
Vir1691_iucD_5,Siderophore: Aerobactin,UPEC|APEC
Vir1692_ECO10_13,Hypothetical Protein,EHEC
Vir1693_papG_6,Adhesion: P Fimbriae,ExPEC
Vir1695_ybtU_10,Siderophore: Yersiniabactin,ExPEC
Vir1696_pic_1,Protease,StxEAEC
Vir1697_fimA_13,Adhesion: Type I Fimbriae,ExPEC
Vir1700_eae_5,Adhesion: Intimin,"EPEC,EHEC"
Vir1701_aec25_8,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir1703_irp1_5,Siderophore: Yersiniabactin,ExPEC
Vir1704_chuA_11,Iron: E.coli hemin uptake,EHEC
Vir1705_fimA_14,Adhesion: Type I Fimbriae,ExPEC
Vir1706_APECO_6,Hypothetical Protein,APEC
Vir1708_aec18_8,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir1711_nleG2_6,Hypothetical Protein,EPEC
Vir1713_EC559_12,Hypothetical Protein,EAEC
Vir1714_fimA_15,Adhesion: Type I Fimbriae,ExPEC
Vir1716_escV_6,Secretion system: Type III,EHEC
Vir1718_faeE_2,Adhesion: Fimbriae,ETEC
Vir1720_ECH74_2,Hypothetical Protein,EHEC
Vir1723_aec15_9,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir1724_espR1_3,Secretion system: Type III,EHEC
Vir1726_papI_6,Adhesion: P Fimbriae,ExPEC
Vir1727_focI_1,Adhesion: Fimbriae,UPEC
Vir1728_EC559_13,Hypothetical Protein,EAEC
Vir1733_ybtE_7,Siderophore: Yersiniabactin,ExPEC
Vir1735_nleA_7,NA,EPEC
Vir1736_hlyC_6,Toxin: Alpha-Hemolysin,EHEC
Vir1737_ECO10_14,Hypothetical Protein,EHEC
Vir1738_lifA_2,Toxin,EHEC
Vir1743_aec31_10,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir1746_ehaB_12,Autotransporter: adhesion/biofilm formation,EHEC
Vir1747_ehaB_13,Autotransporter: adhesion/biofilm formation,NMEC
Vir1749_aec31_11,Secretion system: Type VI,EAEC
Vir1754_cdiA_2,Autotransporter: Contact-Dependent Growth Inhibition,UPEC|AIEC
Vir1755_EC042_13,Secretion system: Type VI,EAEC
Vir1757_sitA_4,Iron: Transport,ExPEC
Vir1758_aec27_12,Secretion system: Type VI,ETEC
Vir1759_ECO10_15,Hypothetical Protein,EHEC
Vir1761_fimD_10,Adhesion: Type I Fimbriae,ExPEC
Vir1763_E2348_3,Hypothetical Protein,EPEC
Vir1765_hlyD_7,Toxin: Alpha-Hemolysin,ETEC
Vir1766_ECS88_10,Secretion system: SCI-I T6SS,NMEC
Vir1768_eaeH_12,Adhesion,EHEC
Vir1769_focF_2,Adhesion: Fimbriae,UPEC
Vir1770_E2348_4,Hypothetical Protein,EPEC
Vir1771_fimH_15,Adhesion: Type I Fimbriae,ExPEC
Vir1773_papI_7,Adhesion: P Fimbriae,ExPEC
Vir1774_papF_4,Adhesion: P Fimbriae,ExPEC
Vir1775_iroD_3,Siderophore: Salmochelin,ExPEC
Vir1776_nleG_2,Hypothetical Protein,EPEC
Vir1779_aatA_3,NA,ETEC
Vir1783_fimI_13,Adhesion: Type I Fimbriae,AIEC
Vir1795_espA_4,NA,EHEC
Vir1796_espV_1,Hypothetical Protein,EHEC
Vir1797_chuS_6,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1804_espG2_1,Secretion system: Type III,EPEC
Vir1805_irp2_13,Siderophore: Yersiniabactin,ExPEC
Vir1809_ybtA_5,Siderophore: Yersiniabactin,ExPEC
Vir1811_espY4_4,Hypothetical Protein,EPEC
Vir1813_nleG6_8,Hypothetical Protein,EHEC
Vir1814_ecpC_16,Adhesion: E.coli common pilus,UPEC
Vir1816_ehaA_5,Autotransporter: adhesion/biofilm formation,EAEC
Vir1817_sepQ_4,NA,EPEC
Vir1818_aec29_10,Secretion system: Type VI,EHEC
Vir1821_aec30_11,Secretion system: Type VI,EHEC
Vir1825_fimD_11,Adhesion: Type I Fimbriae,ExPEC
Vir1826_hlyE_8,Toxin: Hemolysin/cytolysin A,ExPEC
Vir1830_sfaB_2,Adhesion: S Fimbriae,ExPEC
Vir1834_hlyE_9,Toxin: Hemolysin/cytolysin A,ExPEC
Vir1835_chuA_12,Iron: E.coli hemin uptake,EHEC
Vir1837_ybtX_7,Siderophore: Yersiniabactin,ExPEC
Vir1838_glrA_3,NA,EHEC
Vir1840_eaeH_13,Adhesion,APEC
Vir1843_sepD_4,NA,EPEC
Vir1845_ECO11_3,Secretion system: Type III,EHEC
Vir1846_iroB_2,Siderophore: Salmochelin,ExPEC
Vir1847_ybtU_11,Siderophore: Yersiniabactin,ExPEC
Vir1849_aec15_10,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir1853_hlyD_8,Toxin: Alpha-Hemolysin,UPEC
Vir1854_espC_1,Toxin: Enterotoxin,UPEC
Vir1856_fimG_11,Adhesion: Type I Fimbriae,ExPEC
Vir1858_espX5_2,Hypothetical Protein,EPEC
Vir1859_ECNA1_9,Hypothetical Protein,UPEC
Vir1860_cfaD_5,Adhesion: CFA/I Fimbriae,EHEC
Vir1862_sitC_5,Iron: Transport,ExPEC
Vir1865_glrA_4,NA,EHEC
Vir1867_fimB_9,Adhesion: Type I Fimbriae,NMEC
Vir1869_espI_1,Protease,EHEC
Vir1870_chuA_13,Iron: E.coli hemin uptake,EHEC
Vir1871_EcE24_6,NA,ETEC
Vir1876_sfaE_2,Adhesion: S Fimbriae,ExPEC
Vir1877_chuA_14,Iron: E.coli hemin uptake,EHEC
Vir1881_chuU_10,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1882_fimI_14,Adhesion: Type I Fimbriae,UPEC
Vir1884_ybtQ_9,Siderophore: Yersiniabactin,ExPEC
Vir1886_aggR_2,NA,EAEC
Vir1888_aec23_10,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir1890_ECUMN_1,Hypothetical Protein,UPEC
Vir1893_nleG_3,Secretion system: Type III,EHEC
Vir1895_fimE_11,Adhesion: Type I Fimbriae,ExPEC
Vir1899_iutA_5,Siderophore: Aerobactin,ExPEC
Vir1900_chuW_7,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1901_espM2_5,Secretion system: Type III,EHEC
Vir1902_papC_7,Adhesion: P Fimbriae,ExPEC
Vir1903_ECOK1_5,Hypothetical Protein,NMEC
Vir1905_iutA_6,Siderophore: Aerobactin,ExPEC
